depth,cell_index,theta_0,phi_0,theta_1,phi_1,theta_2,phi_2,theta_3,phi_3,center_energy,volume,gradient_0,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7
5,0,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,0.39269908169872414,1.850498842815708,90.36503092326754,1.9946077426450335,0.0,0.6701794032760324,12.995741331678706,0.5185205253246816,-6665.025546529389,12.089485545478805,6652.029805197711,12.101144770928071
5,1,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,1.1780972450961724,1.850498842815708,6.779856664124288,1.9946077426450335,0.0,0.5425991025949101,6.993616163740898,0.2700390349409654,-4.596923145467749,0.33378731952800483,-2.3966930182731483,0.09696505459355383
5,2,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,1.1780972450961724,1.850498842815708,31.471740855888743,1.9946077426450335,0.0,0.40793469430434787,1.355445445208844,0.029568737271560362,-740.4753999890387,3.8799403065864366,739.1199545438299,3.8835883393213906
5,3,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,1.9634954084936207,1.850498842815708,5.829244537065954,1.9946077426450335,0.0,0.3621733110800293,6.501957223703106,0.2254166227705994,-5.918105126813473,0.24188649160370743,-0.5838520968896327,-0.039558185501109545
5,4,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,2.748893571891069,1.850498842815708,5.558205473127239,1.9946077426450335,0.0,0.23459301039890693,6.345683470749263,0.2117370437957163,-6.173936367561859,0.2166404876327429,-0.17174710318740397,-0.07848376844695718
5,5,0.0,0.0,0.0,1.850498842815708,1.2155972450961725,1.850498842815708,1.9634954084936207,1.850498842815708,4.838612032471419,1.9946077426450335,0.0,0.22750890278946714,0.8637865051710523,-0.015053674898805616,1.1597841725522462,0.09961567954406073,-2.0235706777232982,0.05864130010864878
5,6,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,1.9634954084936207,1.850498842815708,19.766352331212588,1.9946077426450335,0.0,0.04188479082038418,0.4002968017620173,-0.05782349164953067,-266.49894311390415,2.24348005373667,266.09864631214214,2.245275491051983
5,7,0.0,0.0,0.0,1.850498842815708,2.0259954084936207,1.850498842815708,2.748893571891069,1.850498842815708,4.49252818136712,1.9946077426450335,0.0,-0.08569550986073823,0.24402304880817444,-0.07150307062441377,1.7542985269992195,0.06359203324723574,-1.998321575807394,0.051707891587665734
5,8,0.0,0.0,0.0,1.850498842815708,2.836393571891069,1.850498842815708,2.748893571891069,1.850498842815708,14.82909249606066,1.9946077426450333,0.0,-0.20689908763792092,0.09322616823703775,-0.08397248722423849,-135.89048039394862,1.548089454982987,135.79725422571158,1.5486747299232417
5,9,0.0,0.0,0.0,1.850498842815708,0.40519908169872415,1.850498842815708,3.5342917352885173,1.850498842815708,5.513881274331456,1.9946077426450335,0.0,0.2345930103989069,6.240178655659706,0.2117370437957163,-6.291305332557595,0.21027481749036214,0.051126676897888565,-0.08484943858933795
