depth,cell_index,theta_0,phi_0,theta_1,phi_1,theta_2,phi_2,theta_3,phi_3,center_energy,volume,gradient_norm,gradient_0,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7
40,0,0.0,0.0,0.0,1.8905130729026394,2.092473382834817,1.901945710070334,4.1939034740793435,1.9133783472380288,3.6744053722967305,5.805072556962736e-11,0.018455644950150882,0.0,0.006652106762420119,-0.0011296993925004036,-0.01283011232336077,-0.0015811559435719722,-0.009431047699077377,0.0027108553360723755,-0.005628396905571505
40,1,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.8905130729026394,4.1877675509278,1.9133783472380288,3.674411009536163,5.8050725569635765e-11,0.0175298172399847,0.0,0.0013760728996753309,0.0016735242792097677,-0.009057622256630425,-0.003622540789402163,-0.013044881809676003,0.001949016510192395,-0.005785266011933389
40,2,0.0,0.0,0.0,1.901945710070334,2.092473382834817,1.8905130729026394,4.181631627776257,1.9133783472380288,3.6744057112104764,5.805072556962736e-11,0.017257807321406932,0.0,-0.000992179155213301,0.001612385500653648,-0.009435036559751009,0.0011613258145755578,-0.012825920025826762,-0.002773711315229206,-0.005628624660028116
40,3,0.0,0.0,0.0,1.9133783472380288,2.0988046184863602,1.8905130729026394,4.181631627776257,1.901945710070334,3.674418254827687,5.805072556962736e-11,0.019258737355897546,0.0,-0.0075074196941401095,0.00031940354289692105,-0.005888239247520298,0.003762073718263669,-0.012845307622845055,-0.00408147726116059,-0.009162458774787741
40,4,0.0,0.0,0.0,1.901945710070334,2.092473382834817,1.8905130729026394,4.1939034740793435,1.9133783472380288,3.674409968213256,5.805072556962736e-11,0.017552093033796384,0.0,0.0012985076927368641,-0.0015114801061980158,-0.009035365087364891,-0.0019560319677781493,-0.013238380043600655,0.0034675120739761653,-0.0056002719616637725
40,5,0.0,0.0,0.0,1.9133783472380288,2.092473382834817,1.8905130729026394,4.1877675509278,1.901945710070334,3.6743991516350114,5.8050725569635765e-11,0.017749862860191208,0.0,-0.005124981583656485,0.000370877820745608,-0.005539971725090095,-0.001031171077707453,-0.013026606381990274,0.0006602932569618452,-0.009315126592916438
40,6,0.0,0.0,0.0,1.9133783472380288,2.092473382834817,1.8905130729026394,4.1939034740793435,1.901945710070334,3.67441276892941,5.805072556962736e-11,0.01810255301221073,0.0,-0.0039589026280121035,-0.0011968591369906274,-0.005360180933792953,-0.0025814275050426395,-0.013217849572358206,0.003778286642033267,-0.009285189221247754
40,7,0.0,0.0,0.0,1.9133783472380288,2.092473382834817,1.901945710070334,4.1939034740793435,1.8905130729026394,3.674411553371532,5.805072556962736e-11,0.018026062670902916,0.0,-0.003949006907184478,-0.0004351226320536087,-0.005367636302779914,-0.0029613832962820455,-0.009389833177549604,0.003396505928335654,-0.013109859573143944
40,8,0.0,0.0,0.0,1.9133783472380288,2.092473382834817,1.9133783472380288,4.1939034740793435,1.8905130729026394,3.6743416492110192,5.805072556962736e-11,0.012025784442993173,0.0,-0.0021971939360179485,-6.724264855510317e-05,-0.002519466577505686,-0.00301848871172345,-0.0028458113381803585,0.003085731360278553,-0.010329953657436481
40,9,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.175495704624716,1.901945710070334,3.6744054599099982,5.805072556962736e-11,0.018291781188887895,0.0,0.00026612195919934866,0.007098012606504256,-0.009232463511313401,-0.004070935318419488,-0.008872563103098688,-0.003027077288084767,-0.009718034030702722
40,10,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.181631627776257,1.901945710070334,3.674396379602645,5.805072556962736e-11,0.01797008634339696,0.0,0.0014238904472667411,0.005556276022868953,-0.009049290983058208,-0.0056236097764083455,-0.009057296579803302,6.733375353939244e-05,-0.009719594979152143
40,11,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.175495704624716,1.901945710070334,3.6743899659390062,5.805072556962736e-11,0.0176454178386124,0.0,-0.0009435019370239441,0.005464876836518721,-0.009427464029514112,-0.0008235607219724164,-0.008875226591134289,-0.004641316114546305,-0.009525697000537615
40,12,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.181631627776257,1.901945710070334,3.674371017532833,5.805072556962736e-11,0.01678892407315708,0.0,0.0002142665510434484,0.0039231402528834185,-0.009244291501258918,-0.002388186997460765,-0.009061656441425476,-0.0015349532554226532,-0.009528954322573606
40,13,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.175495704624716,1.9133783472380288,3.674331855163655,5.805072556962736e-11,0.012702023165520857,0.0,0.002064105425164242,0.006764165594557538,-0.006443240314933095,-0.0037313314877498007,-0.006055887868639636,-0.0030328341068077366,-0.0031649461411270255
40,14,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.181631627776257,1.9133783472380288,3.674322757587593,5.805072556962736e-11,0.012394459530499887,0.0,0.0032033052019355647,0.005219496525410299,-0.006246118933550568,-0.005286958332726941,-0.0062547351618545384,6.746180731664172e-05,-0.0031664057973112263
40,15,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.175495704624716,1.9133783472380288,3.6743185210061595,5.805072556962736e-11,0.011763663328393917,0.0,0.0008544815289409491,0.005131029824572003,-0.006638240833133805,-0.00048088844668660194,-0.006043805105972619,-0.004650141377885401,-0.0029794763146745915
40,16,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.181631627776257,1.9133783472380288,3.6742995365703597,5.805072556962736e-11,0.010619590451170993,0.0,0.0019936813057122717,0.0035863607554247655,-0.006441119451751278,-0.0020484888449129914,-0.006244529093256744,-0.0015378719105117737,-0.002982521212778203
40,17,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.9133783472380288,4.175495704624716,1.901945710070334,3.6743413494526633,5.805072556962736e-11,0.013459377466061632,0.0,0.001979203601575093,0.007445352750199518,-0.006378458810365996,-0.004078671631445063,-0.0023496219355416174,-0.003366681118754455,-0.00690135879624367
40,18,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.9133783472380288,4.181631627776257,1.901945710070334,3.6743301944308153,5.805072556962736e-11,0.01300491734526645,0.0,0.0031369720896424853,0.005903616166564215,-0.006195286282110802,-0.005634298476422203,-0.002527809462783282,-0.00026931769014201134,-0.006917033561203379
40,19,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.175495704624716,1.901945710070334,3.6743258260372498,5.805072556962736e-11,0.012395290316724933,0.0,0.0007889800925080361,0.005809114191160002,-0.006588490834101593,-0.0008251258013278823,-0.0023521087897424107,-0.00498398838983212,-0.006694275515375943
40,20,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.181631627776257,1.901945710070334,3.6743047841556638,5.805072556962736e-11,0.011123261500589204,0.0,0.0019467485805754285,0.004267377607524698,-0.0064053183058463995,-0.002392726199554272,-0.0025318815589034866,-0.001874651407970427,-0.006711826974404874
40,21,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.181631627776257,1.9133783472380288,3.674265647192266,5.805072556962736e-11,0.007082178888955178,0.0,0.0037261633352442523,0.003930598110066045,-0.0036021462563387598,-0.0020264666386989624,0.000309235595721044,-0.001904131471367083,-0.00014140405815367277
40,22,0.0,0.0,0.0,1.9133783472380288,2.079810911531732,1.901945710070334,4.175495704624716,1.901945710070334,3.674337307207817,5.805072556962736e-11,0.013394394652876299,0.0,-0.003249211309728528,0.0071115057382528,-0.002696814402062078,-0.00441827546211475,-0.006018558402151282,-0.0026932302761380486,-0.0069288108343224155
40,23,0.0,0.0,0.0,1.9133783472380288,2.079810911531732,1.901945710070334,4.181631627776257,1.901945710070334,3.67433028434625,5.805072556962736e-11,0.012800309622994919,0.0,-0.0020914428216611356,0.005566836669105561,-0.002520086531004614,-0.005970949920103608,-0.006203291878855897,0.0004041132509980455,-0.006916422929644503
40,24,0.0,0.0,0.0,1.9133783472380288,2.086142147183275,1.901945710070334,4.175495704624716,1.901945710070334,3.674319623978907,5.805072556962736e-11,0.012645795469891525,0.0,-0.004458835205951821,0.005475267179213283,-0.0028847710827153055,-0.0011677980766136968,-0.006036253395721771,-0.004307469102599586,-0.006736473804157307
40,25,0.0,0.0,0.0,1.9133783472380288,2.086142147183275,1.901945710070334,4.181631627776257,1.901945710070334,3.6743027330185196,5.805072556962736e-11,0.011248992762648475,0.0,-0.0033010667178844286,0.003930598110066045,-0.0027080432116578412,-0.0027324243521020457,-0.006222683246012958,-0.0011981737579640002,-0.006725782273065966
40,26,0.0,0.0,0.0,1.9133783472380288,2.086142147183275,1.901945710070334,4.181631627776257,1.9133783472380288,3.674263435956413,5.805072556962736e-11,0.005812451900885204,0.0,-0.001521651963215605,0.0035675780470052383,0.00011902235859561604,-0.002392726199554272,-0.0034055558978442254,-0.0011748518474509666,-0.00015545564252474577
40,27,0.0,0.0,0.0,1.9133783472380288,2.086142147183275,1.9133783472380288,4.181631627776257,1.901945710070334,3.6742690942610956,5.805072556962736e-11,0.006810509831811726,0.0,-0.0015685846883524484,0.004301899751250024,0.00015507043464581632,-0.0027640278407382503,0.00033123208740017124,-0.0015378719105117737,-0.0039086549248972344
40,28,0.0,0.0,0.0,1.9133783472380288,2.079810911531732,1.9133783472380288,4.175495704624716,1.9133783472380288,3.674296721756262,5.805072556962736e-11,0.010164188096120328,0.0,0.0002618537986121091,0.007126489465096733,0.002994454780156749,-0.004087267699866025,0.003369288734555839,-0.0030392217652307073,0.00248873621533163
40,29,0.0,0.0,0.0,1.9133783472380288,2.079810911531732,1.9133783472380288,4.181631627776257,1.9133783472380288,3.674287605019186,5.805072556962736e-11,0.0095598751715849,0.0,0.0014010535753834318,0.005578567514216689,0.0031852277871776574,-0.005646171407284473,0.00317689000979037,6.76038930677845e-05,0.002487110497587069
40,30,0.0,0.0,0.0,1.9133783472380288,2.086142147183275,1.9133783472380288,4.175495704624716,1.9133783472380288,3.6742811656242615,5.805072556962736e-11,0.00892870200129024,0.0,-0.0009283697104549477,0.0054868016390692605,0.0027913629978783654,-0.0008268648048928152,0.0033665147289418094,-0.004659936834176446,0.002689053991995984
40,31,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.1877675509278,1.901945710070334,3.674406286232592,5.8050725569635765e-11,0.018505259747583897,0.0,0.002585836042420257,0.0040031006718950985,-0.008864486219467853,-0.007164851881550895,-0.009240398346121267,0.003161751209655796,-0.009717891981879754
40,32,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.1939034740793435,1.901945710070334,3.674435180743599,5.805072556962736e-11,0.01982893155618486,0.0,0.0037519149980646386,0.002438338084731585,-0.008678037076871755,-0.008694807960086199,-0.00942188038348643,0.006256469875354613,-0.009712924876648817
40,33,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.1877675509278,1.901945710070334,3.6743711289284855,5.8050725569635765e-11,0.016848870382641684,0.0,0.0013762121461969644,0.0023699649019095644,-0.009059486737668562,-0.003941227784256179,-0.009246442055568028,0.0015712628823466145,-0.009528935173125802
40,34,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.1939034740793435,1.901945710070334,3.674390300136613,5.805072556962736e-11,0.01781682152173465,0.0,0.002542291101841346,0.0008052023147460508,-0.008873037595072466,-0.00548283152698572,-0.009429595575402088,0.004677629212239669,-0.009525639550363766
40,35,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.1877675509278,1.9133783472380288,3.6743326830577283,5.8050725569635765e-11,0.013312492213816132,0.0,0.0043466150918332214,0.003663367876294871,-0.006047192797746471,-0.006831132023457817,-0.006451778324889374,0.0031677641471629455,-0.0031648133102447967
40,36,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.901945710070334,4.1939034740793435,1.9133783472380288,3.6743616325194712,5.805072556962736e-11,0.015237295748496209,0.0,0.00549399204988573,0.0020956309185586356,-0.005846447461164452,-0.008363999142467046,-0.006647031599848795,0.00626836822390841,-0.003160168553238144
40,37,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.1877675509278,1.9133783472380288,3.6742996481778274,5.8050725569635765e-11,0.010900057900426911,0.0,0.0031369911956099284,0.0020302321063093366,-0.006242193315947181,-0.0036044826850718716,-0.00644343404977249,0.0015742505787625346,-0.0029825033121013336
40,38,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.901945710070334,4.1939034740793435,1.9133783472380288,3.674318855839229,5.805072556962736e-11,0.012510729731358455,0.0,0.004284368153662437,0.00046249514857310157,-0.006041447979365162,-0.005149018671552085,-0.006640534419570272,0.004686523522978983,-0.0029794226112160762
40,39,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.9133783472380288,4.1877675509278,1.901945710070334,3.6743380443979374,5.8050725569635765e-11,0.013725527846919197,0.0,0.004298917684796001,0.0043504408155903606,-0.006010481518520447,-0.007178472167153079,-0.002704471141801747,0.0028280313515627177,-0.00692927196064786
40,40,0.0,0.0,0.0,1.901945710070334,2.079810911531732,1.9133783472380288,4.1939034740793435,1.901945710070334,3.6743649001709424,5.805072556962736e-11,0.015458833418832973,0.0,0.005464996640440383,0.002785678228426847,-0.00582403237592435,-0.008711339286162308,-0.002879617176092237,0.005925661057735461,-0.006938076093011183
40,41,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.1877675509278,1.901945710070334,3.6743028202601185,5.8050725569635765e-11,0.011199326814051194,0.0,0.0031086941757289444,0.002714202256550845,-0.006220513542256044,-0.003948720039713151,-0.002710117824311511,0.001234517783162307,-0.006725927167330264
40,42,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.1939034740793435,1.901945710070334,3.674319934232782,5.805072556962736e-11,0.012600186357486241,0.0,0.004274773131373326,0.001149439669387331,-0.006034064399659947,-0.005493256026193365,-0.0028868279147233967,0.004343816356806034,-0.00673657839453195
40,43,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.1877675509278,1.9133783472380288,3.674263521527874,5.8050725569635765e-11,0.007436015209951225,0.0,0.004869473225141909,0.0023744694609506172,-0.0034032201205346623,-0.0035857381446161483,0.00011678257015016203,0.001211268683665531,-0.00015560291763966
40,44,0.0,0.0,0.0,1.901945710070334,2.086142147183275,1.9133783472380288,4.1939034740793435,1.9133783472380288,3.674280511951822,5.805072556962736e-11,0.009602947916018137,0.0,0.006016850183194417,0.0008067325032143818,-0.0032024747839526435,-0.005133526721639603,-7.397063972270883e-05,0.004326794218425222,-0.00016656533621538846
